SNP_ID	Chromosome
PZA00342.9	10
PZA00344.10	4
PZA00345.15	5
PZA00346.1	7
PZA00346.2	7
PZA00346.3	7
PZA00349.3	2
PZA00349.5	2
PZA00350.2	7
PZA00352.22	5
PZA00355.1	6
PZA00355.2	6
PZA00356.9	1
PZA00364.5	1
PZA00364.6	1
PZA00367.2	2
PZA00369.1	1
PZA00370.1	7
PZA00370.5	7
PZA00380.5	3
PZA00380.7	3
PZA00381.3	1
PZA00381.4	1
PZA00381.5	1
PZA00382.17	6
PZA00385.3	1
PZA00386.3	7
PZA00390.6	2
PZA00391.2	3
PZA00392.3	7
PZA00392.4	7
PZA00393.1	1
PZA00393.4	1
PZA00394.11	2
PZA00395.1	5
PZA00395.2	5
PZA00396.12	2
PZA00401.11	5
PZA00401.6	5
PZA00406.1	5
PZA00407.9	5
PZA00408.7	5
PZA00409.3	10
PZA00411.1	1
PZA00411.4	1
PZA00411.5	1
PZA00413.17	3
PZA00413.18	3
PZA00413.21	3
PZA00417.2	8
PZA00417.3	8
PZA00419.1	8
PZA00420.4	3
PZA00422.2	8
PZA00422.5	8
PZA00422.6	8
PZA00423.16	7
PZA00423.17	7
PZA00424.1	7
PZA00425.4	1
PZA00425.9	1
PZA00429.1	8
PZA00433.5	5
PZA00436.7	4
PZA00439.6	6
PZA00440.1	6
PZA00442.3	2
PZA00442.4	2
PZA00442.5	2
PZA00442.6	2
PZA00444.1	10
PZA00444.5	10
PZA00445.18	4
PZA00449.2	5
PZA00452.4	8
PZA00458.6	3
PZA00459.5	2
PZA00460.3	8
PZA00460.5	8
PZA00460.7	8
PZA00462.2	6
PZA00463.3	10
PZA00466.1	9
PZA00468.11	1
PZA00468.7	1
PZA00470.1	5
PZA00471.2	2
PZA00471.3	2
PZA00471.4	2
PZA00472.2	5
PZA00477.10	1
PZA00477.11	1
PZA00477.5	1
PZA00477.9	1
PZA00478.10	2
PZA00478.11	2
PZA00478.7	2
PZA00478.9	2
PZA00480.10	3
PZA00481.7	8
PZA00484.5	1
PZA00485.2	2
PZA00486.2	7
PZA00487.16	2
PZA00487.24	2
PZA00487.26	2
PZA00489.1	6
PZA00493.1	4
PZA00493.2	4
PZA00493.5	4
PZA00495.3	2
PZA00495.4	2
PZA00495.6	2
PZA00496.1	7
PZA00497.1	2
PZA00497.4	2
PZA00498.4	8
PZA00499.10	5
PZA00499.12	5
PZA00499.3	5
PZA00501.12	6
PZA00501.14	6
PZA00502.5	9
PZA00503.5	6
PZA00504.1	7
PZA00504.2	7
PZA00505.4	7
PZA00505.8	7
PZA00510.2	6
PZA00510.3	6
PZA00514.1	9
PZA00514.6	9
PZA00514.7	9
PZA00515.14	2
PZA00516.3	8
PZA00517.6	5
PZA00522.12	5
PZA00523.2	4
PZA00525.16	2
PZA00525.2	2
PZA00527.6	2
PZA00527.9	2
PZA00529.3	4
PZA00531.1	8
PZA00533.3	2
PZA00533.4	2
PZA00533.5	2
PZA00533.6	2
PZA00534.2	7
PZA00536.2	6
PZA00538.12	3
PZA00538.16	3
PZA00538.8	3
PZA00543.2	6
PZA00543.4	6
PZA00543.5	6
PZA00545.21	5
PZA00545.22	5
PZA00545.4	5
PZA00547.13	5
PZA00547.18	5
PZA00552.4	10
PZA00560.1	unknown
PZA00560.2	unknown
PZA00562.4	10
PZA00565.3	3
PZA00566.5	multiple
PZA00568.19	9
PZA00573.3	5
PZA00578.1	6
PZA00579.6	9
PZA00582.4	6
PZA00586.1	3
PZA00587.3	10
PZA00587.6	10
PZA00588.2	9
PZA00588.4	9
PZA00589.10	9
PZA00589.8	9
PZA00589.9	9
PZA00593.2	1
PZA00595.3	5
PZA00600.11	8
PZA00603.1	5
PZA00608.1	3
PZA00608.5	3
PZA00610.18	1
PZA00610.9	1
PZA00613.22	2
PZA00614.12	7
PZA00615.3	3
PZA00615.6	3
PZA00615.8	3
PZA00617.16	1
PZA00618.22	3
PZA00620.2	2
PZA00621.2	3
PZA00622.1	6
PZA00622.2	6
PZA00623.2	1
PZA00626.3	5
PZA00626.4	5
PZA00630.9	4
PZA00636.5	multiple
PZA00636.6	4
PZA00637.4	2
PZA00639.12	2
PZA00639.13	2
PZA00639.15	2
PZA00641.7	8
PZA00641.8	8
PZA00644.11	4
PZA00647.9	10
PZA00650.8	1
PZA00654.10	1
PZA00654.12	1
PZA00655.1	7
PZA00656.15	10
PZA00656.16	10
PZA00656.18	10
PZA00656.4	10
PZA00658.19	1
PZA00658.23	1
PZA00662.3	4
PZA00665.6	10
PZA00667.1	3
PZA00672.6	2
PZA00672.8	2
PZA00673.2	1
PZA00674.3	5
PZA00676.2	2
PZA00680.1	2
PZA00680.3	2
PZA00682.2	4
PZA00684.12	5
PZA00686.8	8
PZA00692.5	1
PZA00693.3	9
PZA00695.1	7
PZA00698.4	1
PZA00700.3	4
PZA00704.11	4
PZA00705.5	1
PZA00706.16	8
PZA00710.1	5
PZA00710.16	5
PZA00712.4	10
PZA00715.3	5
PZA00717.14	8
PZA00719.1	3
PZA00719.2	3
PZA00719.3	3
PZA00720.2	2
PZA00720.3	2
PZA00721.4	6
PZA00721.5	6
PZA00725.4	2
PZA00726.6	4
PZA00726.7	4
PZA00726.9	4
PZA00727.11	10
PZA00727.12	10
PZA00729.18	2
PZA00729.19	2
PZA00730.2	2
PZA00731.6	1
PZA00731.7	1
PZA01104.1	6
PZA01149.1	9
PZA01149.3	9
PZA01182.1	5
PZA01240.1	4
PZA01240.2	4
PZA01420.1	3
PZA01420.2	3
PZA01420.3	3
PZA01474.2	2
PZA01637.2	4
PZA01637.3	4
PZA01637.4	4
PZA01725.1	1
PZA01725.2	1
PZA01782.2	9
PZA01782.3	9
PZA01782.4	9
PZA02789.31	3
PZA02789.36	3
PZA02791.6	1
PZA02792.16	5
PZA02792.9	5
PZA02806.4	1
PZA02806.9	1
PZA02807.5	5
PZA02808.12	2
PZA02808.16	2
PZA02819.35	4
PZA02820.6	5
PZA02822.2	5
PZA02824.1	3
PZA02824.3	3
PZA02825.8	4
PZA02831.5	2
PZA02837.5	1
PZA02844.1	9
PZA02850.18	7
PZA02850.4	7
PZA02853.10	10
PZA02853.7	10
PZA02856.1	3
PZA02862.3	unknown
PZA02865.11	4
PZA02869.2	1
PZA02869.8	1
PZA02872.1	7
PZA02872.3	7
PZA02878.12	9
PZA02888.3	3
PZA02890.3	2
PZA02890.4	2
PZA02890.5	2
PZA02894.1	5
PZA02897.12	9
PZA02906.12	3
PZA02906.7	3
PZA02921.9	1
PZA02923.7	3
PZA02927.1	8
PZA02938.5	4
PZA02939.6	2
PZA02940.3	7
PZA02941.3	10
PZA02941.6	10
PZA02941.8	10
PZA02947.2	6
PZA02948.19	6
PZA02948.21	6
PZA02948.22	6
PZA02949.22	4
PZA02949.26	4
PZA02952.10	3
PZA02954.2	1
PZA02955.3	8
PZA02958.17	6
PZA02959.7	7
PZA02961.1	10
PZA02962.13	1
PZA02963.5	1
PZA02966.11	2
PZA02968.4	4
PZA02969.11	10
PZA02970.9	6
PZA02972.1	4
PZA02982.5	4
PZA02982.6	4
PZA02983.38	7
PZA02984.7	unknown
PZA02988.2	4
PZA02993.5	10
PZA02997.16	9
PZA02997.19	9
PZA03001.15	1
PZA03001.18	1
PZA03001.9	1
PZA03009.5	3
PZA03009.6	3
PZA03009.7	3
PZA03009.8	3
PZA03011.6	3
PZA03012.10	8
PZA03013.7	4
PZA03013.8	4
PZA03014.10	1
PZA03014.21	1
PZA03014.24	1
PZA03017.10	4
PZA03017.11	4
PZA03024.16	5
PZA03024.18	5
PZA03024.7	5
PZA03028.5	1
PZA03032.16	3
PZA03034.1	5
PZA03035.5	8
PZA03037.8	1
PZA03037.9	1
PZA03041.8	6
PZA03042.1	5
PZA03042.5	5
PZA03046.2	5
PZA03046.3	5
PZA03047.12	6
PZA03047.20	6
PZA03047.22	6
PZA03048.16	unknown
PZA03048.17	unknown
PZA03049.23	5
PZA03051.1	10
PZA03051.3	10
PZA03052.15	8
PZA03054.3	3
PZA03054.5	3
PZA03058.17	9
PZA03062.15	9
PZA03062.7	9
PZA03063.17	6
PZA03063.18	6
PZA03064.6	1
PZA03067.17	7
PZA03067.20	7
PZA03068.11	6
PZA03068.13	6
PZA03069.6	6
PZA03073.23	3
PZA03073.24	3
PZA03074.24	1
PZA03078.33	10
PZA03081.1	4
PZA03081.10	4
PZA03081.11	4
PZA03081.13	4
PZA03081.6	4
PZA03083.7	2
PZA03089.12	6
PZA03090.31	6
PZA03092.7	5
PZA03094.18	5
PZA03094.6	5
PZA03095.1	5
PZA03095.2	5
PZA03095.3	5
PZA03097.4	9
PZA03097.7	9
PZA03097.9	9
PZA03102.10	6
PZA03102.2	6
PZA03102.9	6
PZA03137.1	10
PZA03172.2	5
PZA03223.3	7
PZA03258.2	7
PZA03283.2	3
PZA03284.3	5
PZA03290.1	6
PZA03290.2	6
PZA03295.4	7
PZA03296.6	6
PZA03296.7	6
PZA03298.1	5
PZA03298.2	5
PZA03301.2	1
PZA03301.4	1
PZA03302.1	3
PZA03305.6	1
PZA03305.7	1
PZA03311.2	4
PZA03311.3	4
PZA03311.4	4
PZA03311.5	4
PZA03312.1	5
PZA03312.2	5
PZA03316.2	8
PZA03317.1	unknown
PZA03319.3	2
PZA03319.4	2
PZA03320.3	5
PZA03320.4	5
PZA03328.5	2
PZA03329.1	7
PZA03329.2	7
PZA03333.3	6
PZA03335.2	5
PZA03335.3	5
PZA03337.1	4
PZA03338.5	unknown
PZA03340.2	5
PZA03342.2	10
PZA03344.4	7
PZA03344.5	7
PZA03344.6	7
PZA03345.1	1
PZA03345.2	1
PZA03345.4	1
PZA03347.1	4
PZA03348.1	6
PZA03349.1	3
PZA03349.9	3
PZA03767.1	1
PZA03767.4	1
PZA03767.5	1
PZA03773.2	3
PZA03773.3	3
PZA03774.1	5
PZA03774.10	5
PZA03774.2	5
PZA03774.4	5
PZA03774.5	5
PZA03774.6	5
PZA03774.8	5
PZA03774.9	5
PZA03775.1	2
PZA03775.11	2
PZA03775.2	2
PZA03775.3	2
PZA03775.4	2
PZA03775.6	2
PZA03775.7	2
PZA03775.8	2
PZA03775.9	2
PZA03781.1	5
PZA03781.2	5
PZA03781.3	5
PZA03781.4	5
PZA03781.5	5
PZA03781.6	5
PZA03781.7	5
PZA03781.8	5
PZA03782.1	5
PZA03782.3	5
PZA03786.1	9
PZA03786.2	9
PZA03789.1	8
PZA03789.2	8
PZA03789.4	8
PZB00011.4	1
PZB00011.5	1
PZB00041.2	8
PZB00041.4	8
PZB00049.2	8
PZB00049.4	8
PZB00049.7	8
PZB00055.1	10
PZB00060.4	3
PZB00062.6	7
PZB00062.7	7
PZB00062.8	7
PZB00067.2	1
PZB00067.3	1
PZB00067.4	1
PZB00067.5	1
PZB00078.1	2
PZB00081.2	5
PZB00081.4	5
PZB00081.5	5
PZB00081.7	5
PZB00092.1	4
PZB00092.4	4
PZB00093.3	4
PZB00093.4	4
PZB00093.6	4
PZB00096.2	8
PZB00096.3	8
PZB00136.3	5
PZB00140.1	7
PZB00145.2	8
PZB00149.2	1
PZB00149.4	1
PZB00153.1	4
PZB00153.2	4
PZB00153.3	4
PZB00153.5	4
PZB00160.1	8
PZB00160.2	8
PZB00160.4	8
PZB00165.2	2
PZB00165.6	2
PZB00169.4	7
PZB00169.6	7
PZB00175.1	7
PZB00175.2	7
PZB00175.3	7
PZB00175.4	7
PZB00175.5	7
PZB00180.1	5
PZB00180.2	5
PZB00183.3	2
PZB00188.6	multiple
PZB00207.3	9
PZB00221.3	9
PZB00221.8	9
PZB00229.3	4
PZB00232.1	5
PZB00232.2	5
PZB00232.4	5
PZB00232.5	5
PZB00379.3	9
PZB00379.4	9
PZB00379.5	9
PZB00393.7	1
PZB00409.3	10
PZB00416.2	6
PZB00416.5	6
PZB00454.2	1
PZB00454.3	1
PZB00454.4	1
PZB00454.5	1
PZB00498.2	5
PZB00498.4	5
PZB00598.1	7
PZB00598.2	7
PZB00603.3	7
PZB00603.4	7
PZB00603.5	7
PZB00607.2	2
PZB00761.1	9
PZB00761.2	9
PZB00849.2	10
PZB00849.3	10
PZB00849.4	10
PZB00859.1	1
PZB01109.2	3
PZB01109.3	3
PZB01110.1	9
PZB01110.2	9
PZB01110.3	9
PZB01111.6	10
PZB01111.7	10
PZB01111.8	10
PZB01112.3	5
PZB01112.4	5
PZB01112.5	5
PZB01112.6	5
PZB01113.4	4
PZB01114.1	9
PZB01114.3	9
PZB01115.1	5
PZB01115.5	5
PZB01115.6	5
PZB01116.2	5
PZB01221.1	6
PZB01222.1	6
PZB01222.3	6
PZB01223.3	3
PZB01223.4	3
PZB01223.7	3
PZB01225.1	1
PZB01225.2	1
PZB01225.4	1
PZB01228.1	7
PZB01228.3	7
PZB01228.4	7
PZB01233.2	2
PZB01233.3	2
PZB01238.5	7
PZB01238.6	7
PZB01427.1	1
PZB01427.3	1
PZB01463.2	3
PZB01463.3	3
PZB01463.4	3
PZD00003.1	3
PZD00003.3	3
PZD00007.1	3
PZD00008.3	3
PZD00011.1	6
PZD00011.3	6
PZD00011.4	6
PZD00012.1	6
PZD00012.2	6
PZD00012.3	6
PZD00012.4	6
PZD00012.5	6
PZD00013.3	3
PZD00013.4	3
PZD00014.3	3
PZD00017.1	5
PZD00019.1	1
PZD00020.2	1
PZD00020.3	1
PZD00020.4	1
PZD00020.6	1
PZD00021.2	1
PZD00021.4	1
PZD00021.5	1
PZD00022.1	2
PZD00022.3	2
PZD00022.4	2
PZD00024.2	8
PZD00025.1	8
PZD00025.2	8
PZD00030.1	4
PZD00030.4	4
PZD00030.5	4
PZD00030.6	4
PZD00034.3	8
PZD00043.1	7
PZD00043.2	7
PZD00043.3	7
PZD00043.4	7
PZD00044.2	7
PZD00044.3	7
PZD00044.4	7
PZD00045.1	7
PZD00045.2	7
PZD00045.3	7
PZD00045.4	7
PZD00049.3	9
PZD00049.4	9
PZD00049.5	9
PZD00051.1	1
PZD00052.3	unknown
PZD00052.4	unknown
PZD00062.2	1
PZD00066.1	1
PZD00067.1	4
PZD00067.2	4
PZD00067.3	4
PZD00068.1	1
PZD00069.2	1
PZD00069.3	1
PZD00069.4	1
PZD00069.5	1
PZD00073.1	7
PZD00073.2	7
PZD00073.6	7
PZD00074.1	2
PZD00075.1	10
PZD00075.2	10
PZD00076.1	1
PZD00076.2	1
PZD00076.4	1
PZD00077.10	1
PZD00077.5	1
PZD00077.7	1
PZD00077.8	1
PZD00078.2	unknown
Ra2_ORF.1	unknown
Ra2_ORF.2	unknown
Ra2_ORF.4	unknown
Ra2_promoter.1	unknown
Ra2_promoter.2	unknown
Ra2_promoter.3	unknown
sh2.5	3
sh2.6	3
sh2.7	3
sh2.9	3
su1.4	4
su1.5	4
su1.7	4
tb1.17	1
tb1.18	1
tb1.19	1
tb1.5	1
te1.3	3
te1.4	3
zagl1.1	1
zagl1.6	1
zap1.2	2
zen1.1	unknown
zen1.2	unknown
zen1.4	unknown
zfl2.6	2
zmm3.4	9
